,User-ID,Location,Age
246667,246668,"porto, n/a, portugal",22.0
112812,112813,"atlanta, georgia, usa",54.0
117301,117302,"tallahassee, florida, usa",34.0
272315,272316,"talavera de la reina, toledo, spain",19.0
237932,237933,"hopewell, virginia, usa",39.0
170595,170596,"kyle, texas, usa",28.0
194536,194537,"sanming, fujian, china",
204505,204506,"kingston, ontario, canada",24.0
209655,209656,"coupeville, washington, usa",61.0
79087,79088,"santa cruz do rio pardo, são paulo, brazil",19.0
70234,70235,"arlington, virginia, usa",51.0
157493,157494,"strzelno, n/a, poland",
159061,159062,"keene, new hampshire, usa",
19290,19291,"owen sound, ontario, canada",
178380,178381,"westland, michigan, usa",
195084,195085,"saint john, new brunswick, canada",27.0
206445,206446,"petaluma, california, usa",
278258,278259,"chesapeake, virginia, usa",37.0
177112,177113,"north augusta, south carolina, usa",47.0
255644,255645,"avondale, pennsylvania, usa",
71418,71419,"lawrence, kansas, usa",39.0
180442,180443,"london, england, united kingdom",32.0
111417,111418,"great neck, new york, usa",43.0
63663,63664,"ottawa, ontario, canada",
39111,39112,"edinburgh, lothian, united kingdom",33.0
90681,90682,"marietta, georgia, usa",18.0
248215,248216,"rousse, n/a, bulgaria",15.0
178667,178668,"ferndale, michigan, usa",28.0
13166,13167,"river vale, new jersey, usa",
155681,155682,"vitoria-gasteiz, euskal herria, spain",
164879,164880,"greendale, indiana, usa",28.0
276054,276055,"cumberland, iowa, usa",58.0
202425,202426,"west columbia, south carolina, usa",48.0
55497,55498,"cleveland, ohio, usa",58.0
8859,8860,"lubbock, texas, usa",23.0
263447,263448,"laramie, wyoming, usa",
39945,39946,"ottawa, ontario, canada",
259456,259457,"plainsboro, new jersey, usa",
156031,156032,"madrid, asturias, spain",28.0
189611,189612,"vancouver, british columbia, canada",
31730,31731,"nampa, idaho, usa",
206612,206613,"carmel, new york, usa",
275986,275987,"north yarmouth, maine, usa",
185792,185793,"lorton, virginia, usa",
258036,258037,"detroit, michigan, usa",40.0
78206,78207,"schweinfurt germany, bayern, germany",57.0
170026,170027,"saskatoon, saskatchewan, canada",
158700,158701,"knoxville, tennessee, usa",41.0
265771,265772,"london, england, united kingdom",
52489,52490,"detroit, michigan, usa",48.0
257384,257385,"chula vista, california, usa",
219790,219791,"flint, texas, usa",45.0
145710,145711,"indianapolis, indiana, usa",16.0
53729,53730,"bothell, washington, usa",41.0
153970,153971,"oceanside, california, usa",
267878,267879,"glen mills, pennsylvania, usa",
98188,98189,"somerset, kentucky, usa",43.0
138203,138204,"bear, delaware, usa",46.0
223069,223070,"lutherville, maryland, usa",
205311,205312,"stevens point, wisconsin, usa",24.0
9245,9246,"st. paul, minnesota, usa",40.0
144173,144174,"tampere, pirkanmaa, finland",
47668,47669,"lenggries, bavaria, germany",
203646,203647,"immokalee, florida, usa",59.0
198028,198029,"altea, alicante, spain",23.0
260059,260060,"frome, england, united kingdom",46.0
10106,10107,"tallahassee, florida, usa",23.0
127923,127924,"brooklyn, new york, usa",27.0
167019,167020,"bonn, nordhrein - westfalen, germany",21.0
143611,143612,"allendale, new jersey, usa",35.0
259203,259204,"woodland, california, usa",
238145,238146,"martinez, california, usa",
184679,184680,"culver, indiana, usa",
14569,14570,"spokane, washington,",21.0
222788,222789,"winona, minnesota, usa",40.0
262138,262139,"kingston, ontario, canada",33.0
1253,1254,"16605 bennington ct, indiana, usa",26.0
37460,37461,"harriman, tennessee, usa",10.0
11259,11260,"vineland, new jersey, usa",37.0
199177,199178,"brighton, england, united kingdom",57.0
54046,54047,"la plata, buenos aires, argentina",
24196,24197,"selma, california, usa",54.0
191516,191517,"warwick, new york, usa",41.0
48690,48691,"limoges, limousin, france",23.0
187156,187157,"cleveland, ohio, usa",51.0
277205,277206,"quincy-voisins, n/a, france",
218165,218166,"wellington, north island, new zealand",
136823,136824,"ajax, ontario, canada",34.0
98174,98175,"kingston, new hampshire, usa",22.0
201934,201935,"pensacola, florida, usa",
151331,151332,"scotch plains, new jersey, usa",
2341,2342,"burgos, castilla y leon, spain",60.0
179231,179232,"houston, texas, usa",27.0
8005,8006,"milton, massachusetts, usa",34.0
121630,121631,"olivares, sevilla, spain",36.0
215670,215671,"toronto, ontario, canada",
209469,209470,"dallas, texas, usa",
18045,18046,"dayton, texas, usa",23.0
135917,135918,"san diego, california, usa",
96252,96253,"honolulu, hawaii, usa",
70626,70627,"tucson, arizona, usa",
75311,75312,"katy, texas, usa",33.0
40970,40971,"griswold, iowa, usa",11.0
206842,206843,"murcia, murcia, spain",21.0
173079,173080,"rome, lazio, italy",40.0
79501,79502,"florence, italy, italy",
72154,72155,"essen, n/a, germany",27.0
228453,228454,"hillsboro, alabama, usa",16.0
182340,182341,"sydney, ,",
216584,216585,"kolkata, alberta, india",
193842,193843,"brentwood, new york, usa",25.0
59205,59206,"glasgow, scotland, united kingdom",
254518,254519,"lorain, ohio, usa",52.0
53040,53041,"nutting lake, massachusetts, canada",55.0
256526,256527,"cologne, nordrhein-westfalen, germany",20.0
127384,127385,"suffern, new york, usa",39.0
236499,236500,"igualada, catalunya, spain",49.0
264518,264519,"florey, australian capital territory, australia",28.0
71604,71605,"darmstadt, hessen, germany",29.0
182017,182018,"cartagena, murcia, spain",23.0
130122,130123,"ourense, baden-wuerttemberg, spain",23.0
160683,160684,"cincinnati, ohio, usa",32.0
140264,140265,"san francisco, california, usa",49.0
190843,190844,"forest grove, oregon, usa",
174485,174486,"st. albert, alberta, canada",37.0
52524,52525,"jacksonville, florida, usa",34.0
257825,257826,"moers, nordrhein-westfalen, germany",19.0
136159,136160,"faro, algarve, portugal",22.0
136749,136750,"essex, england, united kingdom",31.0
12789,12790,"exmouth, western australia, australia",40.0
16638,16639,"elk mound, wisconsin, usa",44.0
221109,221110,"slough, england, united kingdom",33.0
54248,54249,"carmichael, california, usa",25.0
236169,236170,"langley, british columbia, canada",
172421,172422,"clemson, south carolina, usa",27.0
254246,254247,"toronto, ontario, canada",25.0
257726,257727,"bochum, nordrhein-westfalen, germany",
92308,92309,"vernon, british columbia, canada",
85422,85423,"st. clair, michigan, usa",
204356,204357,"vienna, vienna, austria",42.0
178540,178541,"hyderabad, andhrapradesh, india",23.0
171499,171500,"hollywood, california, usa",33.0
12761,12762,"elgin, quebec, canada",6.0
92023,92024,"tathra, new south wales, australia",14.0
76336,76337,"breda, noord-brabant,",
113931,113932,"chennai, indiana, india",21.0
18635,18636,"louisville, kentucky, usa",
235583,235584,"norwich, england, united kingdom",
230671,230672,"tübingen, baden-wuerttemberg, germany",30.0
175176,175177,"wayne, pennsylvania, usa",
